input,target
HE OLD EIGHTY-SEVEN .,He is eighty-seven years old.
PAST I YOUNG  .,I was young.
BEFORE MEET NEW PERSON YOU LIKE BRUSH-TEETH ?,Do you brush your teeth before meeting a new person?
MY IDEA TAKE-IT MONEY GIVE-SHE .,My idea was to take the money and give it to her.
TODAY HEAT AWFUL AC TURN ON I NEED !,"The heat is awful today, I need to turn on the air conditioner!"
HIS SCHEDULE I-COPY-HE CAN I .,I can copy his schedule.
WORM CAN SEE FAR ?,Can worms see far?
MONEY I-SEND-HE FINISH TICKET HE-SEND-I .,I sent him the money then he sent me the ticket.
"REDSKINS , YOU FAVOR ?",Do you favor the Redskins?
"YES , I STUDY FINISH , NOW HOME GO-TO .","Yes, I have finished studying, and I am going home now."
BUTTERFLIES I DISLIKE .,I dislike butterflies.
YOU GO-TO LIBRARY WHEN ?,When do you/are you going to the library?
"I MUST SHOP , HAVE NONE FOOD LEFT .",I have no food left so I must shop.
YOU LIKE MILK ?,Do you like milk?
"YOUR SHIRT , WHAT COLOR ?",What color is your shirt?
INTERPRET USE R-O-C-H-E-S-T-E-R M-E-T-H-O-D MEAN FINGERSPELL-CONTINUALLY .,Interpreting using the Rochester Method means to fingerspell continually. 
HE DON'T-CARE .,He didn't care.
CHILDREN HAVE HOW-MANY ?,How many children do you have?
COKE THANK-YOU .,I would like a coke. Thank you.
I LEARN SIGN-LANGUAGE .,I learned sign language.
HOT DOGS MY TEACHER MRS . C-A-R-T-W-R-I-G-H-T DOESN'T LIKE .,My teacher Mrs. Cartwright doesn't like hot dogs.
EVERY SUMMER GARDEN WE PLANT .,We put in a garden every summer.
WINTER SKI I PLAN .,I plan to ski in the winter.
"I DRIVE-THERE BOX SEND FINISH , THERE-DRIVE-THERE FOOD STORE BUY FINISH , DRIVE-HERE HOME .","I drove there, mailed a box, then drove to the food store to shop for food, then drove home."
"MY CAR SELL , NEVER , CHERISH .",I will never sell my car. I cherish it.
MY WEDDING DRESS I TRY PRESERVE .,I am going to try to preserve my wedding gown.
YOU LIKE SHOP WHERE ?,Where do you like to shop?
OUTSIDE RAINING UMBRELLA BRING YOU SHOULD .,It's raining outside so you should bring your umbrella.
GALLAUDET FOUR-YEAR SCHOOL . NTID TWO-YEAR .,Gallaudet is a four-year school; NTID is a two-year school. 
TOMORROW MY BIRTHDAY I EXCITED .,"I am excited, my birthday is tomorrow!"
"WHO , S-V-E-N SEE YESTERDAY WHO ?","Who, who did Sven see yesterday?"
WOMAN SHE HAVE CHAIR SHE .,The woman has a chair.
CHRISTMAS BOX++ MANY .,That's a lot of Christmas presents.
"STEPFATHER , WHAT MEANING ?","What does the sign ""stepfather"" mean?"
S-A-R-A-H WILL NOT BUY BOOK .,Sarah will not buy the book.
TIME AGAIN PLEASE ?,Can you say the time again please?
YESTERDAY YOU-TELL-I YOUR COAT DIRTY .,Yesterday you told me that your coat was dirty. 
WHAT SAY HE ?,What did he say?
CAPTION T-V HAVE DIFFERENT-CONTINUALLY .,There are many different captioned TV shows.
YOU LIKE GRAPES BANANAS WHICH ?,Which do you like grapes or bananas?
STAY-HERE HOW LONG ?,How long are you staying?
"REASON , I DON'T-KNOW .",I don't know the reason. 
PLEASE FOR I ANSWER .,Please answer it for me.
"MY MINOR , GEOGRAPHY .",My minor is geography.
"SCHOOL FINISH , YOUR MOM PICK-UP YOU , WHAT-TIME ?",What time does your mom pick you up after school?
I SHY . YOU-ASK-SHE .,I'm shy. You ask her.
"SUPPOSE NOT VOTE , HAPPEN ?","If you don't vote, what wi II happen?"
CAN POP I WANT .,I want a can of pop.
NO I LIVE APARTMENT .,"No, I live in an apartment."
I WILL SEND YOU LETTER .,I will send you a letter.
"ALL-DAY I WORK-CONTINUALLY , NOT EXPECT TIME SIX I .",I worked without stopping all day and didn't realize it was six o'clock.
"BOWLING DON'T-WANT , WHY-NOT TWO-OF-WE GO-AWAY MOVIE ?","If you don't want to go bowling, why don't we go to a movie ?"
PLEASE TURN-ON T-V .,Please turn on the television.
MY MOTHER OLD SIXTY-TWO .,My mother is sixty-two years old.
NOTHING I !,I did not!
NEXT-WEEK AIRPLANE I LEARN FLY WILL .,Next week I'm going to learn to fly an airplane.
"TOMORROW , DO-WHAT YOU ?",What are you doing tomorrow?
LONG-AGO I TEACH RESIDENTIAL-SCHOOL I .,I taught at a residential school a long time ago.
"SUPPOSE I ANGRY , I SUPPRESS .","If I'm angry, I suppress it."
SNOW ALL-OVER WOW VERY-WHITE .,The snow covering everything was very white.
"EVERY-THURSDAY MY SISTER , BROTHER , I EAT TOGETHER .","Every Thursday my sister, brother, and I eat together."
YOU HAVE INTERNET HOME ?,Do you have Internet access at home?
GOOD FRIDAY WHEN ? FRIDAY MARCH TWENTY-ONE .,"Good Friday is Friday, March twenty-first."
PAY EVERY-THREE-MONTHS .,I pay every three months.
THEY SURPRISED THEY .,They are surprised.
I CAN'T I .,I can't.
I NEVER DEPEND MY PARENTS .,I never depend on my parents.
DOCTOR YOU GO-TO++ CHECK HOW-MANY TIME ?,How often do you go to the doctor for check-ups?
"WAIT COTINUALLY , NOT-YET ARRIVE .",I'm still waiting. It hasn't arrived.
HOW YOU ?,How are you?
TODAY HAWAII SUN EIGHTY-TWO DEGREES .,Today in Hawaii will be sunny and eighty-two degrees.
SQUIRREL COLOR WHAT? RED .,The squirrel is red.
J-O-E LOOK-AT E-L-E-N-A HE .,Joe looked at Elena.
WISH HAVE YOURSELF HELICOPTER YOU ?,Do you wish you had your own helicopter?
"NIECE , NEPHEW I HAVE NONE .",I do not have a niece or nephew.
DEAF SCHOOL YOU ?,Did you attend a school for the Deaf?
I RUGE FRIEND MOVE-HERE S-D .,I persuaded my friend to move here to San Diego.
"YESTERDAY , I GO-TO CLUB .","Yesterday, I went to the club."
HE HAVE HOME PRETTY HE .,He has a pretty home.
"I WORK ONE-HOUR FINISH , GO-TO MOVIE .","I'll work for one hour, then I'll go to the movies."
"YOU DIFFERENT++ LANGUAGE UNDERSTAND , HOW-MANY ?",How many different languages do you understand?
"I MUST TAKE-PILL FOR STOMACH , TAKE-PILL FOR HEAD , TAKE-PILL FOR BACK .","I have to take a pill for my stomach, take a pill for my head, take a pill for my back."
HAVE D-S NEAR ?,Is there a drug store nearby?
"YESTERDAY , YOU EAT HOW-MANY TIME ?",How-many times did you eat yesterday?
STORE I NEED GO WHY? PLANNER BUY .,I need to go to the store to buy a planner.
I WAIT OUTSIDE .,I will wait outside.
"MORNING LIBRARY , I SEARCH MAGAZINE .","This morning at the library, I searched for a magazine."
"P-A-T , HER MOTHER , SICK .",Pat's mother is sick.
TIGER COLOR WHAT? ORANGE .,The tiger is orange.
HE THIRSTY . WATER HE DRINK-REPEATEDLY .,He was thirsty so he kept gulping down water.
"P-A-T , YESTERDAY CUT-CLASS .",Pat cut class yesterday.
LONG TIME AGO I SMALL I GIRL SCOUT FIRE LEARN HOW-TO BUILD .,"When I was a Girl Scout, I learned how to build a fire."
YOU NAME WHAT ?,What is your name?
MY UNCLE FROM WHERE? CONNECTICUT .,My uncle is from Connecticut.
I WALKING ALONG WRONG FALL-DOWN .,"I was walking along. Suddenly, I fell."
"NO J-U-L-I-E , I DISLIKE MILK .","No, Julie, I dislike milk."
PAST HIGH SCHOOL YOU LEARN SPANISH YOU ?,Did you learn Spanish in high school?
"CRAZY , L-E-E NOT MOVE-TO DETROIT NOT .",You're crazy. Lee's not moving to Detroit.
MY THREE FAVORITE SPORTS WHAT ? SKIING ICE SKATING ROLLER SKATING .,"My three favorite sports are skiing, ice skating, and roller skating."
SAME-AS-YOU DON'T KNOW ANSWER I .,I don't know the answer either.
BOOKS FEW I-BORROW-YOU ?,Can I borrow a few of your books?
I LOVE PENCILS .,I love pencils.
I TAKE PAPER NEVER I .,I never touched the paper.
I FROM INDIANA .,I am from Indiana.
"L-O-U-I-E , HE FIND ORANGE BOOK .",Louie found the orange book.
YOUR EXCUSE WHAT ?,What is your excuse?
"HE-BLAME-I , ALWAYS .",He's always blaming me.
CAR SEE BAD FOG .,It is hard to see in the car because of the fog.
YESTERDAY WOODS BIG BLACK BEAR HER TWO C-U-B-S WE SAW .,We saw a big black bear and her two babies in the woods yesterday.
"MYSELF , RESTAURANT GO ?",Go to a restaurant by myself?
MY FATHER BORN WHERE? KENTUCKY .,My father was born in Kentucky.
MY FRIEND FROM WHERE? NORTH DAKOTA .,My friend is from North Dakota.
"THAT MAN , H-A-S-S-A-N SAY L-I-Z FINISH GIVE HE BOOK .","That man, Hassan said Liz already gave a book to him."
WIFE NOW VISIT S-D WHAT-FOR ?,Why is your wife now visiting San Diego?
YOUR MOM NAME WHAT ?,What is your mom's name?
"EVERY-THREE-YEAR I DRIVE-TO CHICAGO , VISIT MY GOOD-FRIEND .",Every three years I drive to Chicago to visit my good friend.
ATHLETE NEED PRACTICE HE GO WHERE .,"The athlete needs to practice, where should he go?"
"SUPPOSE YOUR DAD DIVORCE , MARRY NEW WOMAN , SHE YOUR WHAT ?","If your dad were divorced and re-married, what relationship would the new wife be to you?"
SHIRT DOTS YOU HAVE ?,Do you have a polka-dot shirt?
"YESTERDAY , I BOOK READ .",I read a book yesterday.
YOUR HOUSE SMALL ?,Is your house small?
PLEASE TURN-ON-LIGHT .,Please turn on the light.
BOY HE HAVE YOUR PAPER HE .,The boy has your paper.
I WORK FOUR-DAY .,I work a four-day week.
P-A-T BORN TWO BOY TWO .,"Pat just had two boys, two of them."
YEAR NINETEEN-SEVENTY-FOUR J-O-H-N DIED .,John died in 1974.
I HATE BABIES .,I hate babies.
T-O-M LOVES WRITING .,Tom loves writing.
I NOT BELIEVE I .,I don't believe in that.
TOMORROW BEACH YOU WANT GO YOU ?,Do you want to go to the beach tomorrow?
YESTERDAY MY BROTHER EAT HAMBURGER THREE .,Yesterday my brother ate 3 hamburgers.
"TWO-THEY STEADY DATE SIX-MONTH , WRONG MARRY .","They were dating for six months, and before you knew it, they got married."
SKATEBOARD MY BROTHER FALL WRIST BROKE .,My brother fell off his skateboard and broke his wrist.
"CHICAGO , L-A HE THERE-FLY-THERE HE .",He flew from Chicago to Los Angeles.
YOU THINK SALT BAD FOR YOU ?,Do you think salt is bad for you?
"I LIKE WHAT? HOCKEY , GOLF , CYCLING .","I like hockey, golf, and cycling?"
"RAIN , YOU LIKE ?",Do you like rain?
KNOW WHO SHE ?,Do you know her?
HIS WIFE LOOK-LIKE WHAT? NAME WHAT ?,What does his wife look like? What's her name?
TABLE NOT HEAVY ?,Isn't the table heavy?
"HAIR , LONG-HAIR , SHORT-HAIR , YOU THINK PRETTY WHICH ?","Which do you think is prettier, long hair or short hair?"
ONLINE INFORMATION STORIES++ DESCRIBE OUR AREA SOMETIMES WRONG .,The news online is not always right about our neighborhood.
"MOVIE , YOUR FAVORITE WHAT ?",What is your favorite movie?
LETTER I CAN TYPE ONE-MINUTE I .,I can type a letter in a minute.
I EMBARRASSED-REPEATEDLY .,I was repeatedly embarrassed.
WHO YOUR FAVORITE MAN ACT+AM WHO ?,Who is your favorite actor?
EVERY-DAY WEATHER BECOME WARM .,The weather is getting warmer everyday.
NORTH CAROLINA NORTH DAKOTA WHICH ?,North Carolina or North Dakota?
M-A-H-E-S-H SHOULD NOT EAT EGG .,Mahesh should not eat eggs.
DEAF AWARENESS WEEK WHEN? S-E-P-T .,Deaf Awareness Week is in September.
"TABLE , PUT-ON .",Put it on the table.
I LOVE PIANO .,I love playing the piano.
NOW RETIRED .,"Now, I'm retired."
CAN TWO-OF-WE GO-AWAY B-E-A-C-H ?,Can the two of us go to the beach?
"STUDENT , HE ?",Is he a student?
T-T-Y NEW YOU-SHOW-I WILL YOU .,You will show me the new teletypewriter.
"FUNNY BOOK CHARACTER , WHO YOUR FAVORITE ?",Who is your favorite funny book character?
LEARN+AM YOU ?,Are you a student?
"BEFORE SUMMER , I DRIVE-TO MY SISTER HOUSE , VISIT ONE-WEEK FINISH , I FLY-TO F-L-A .","Last summer I drove to my sister's house, visited for a week, then flew to Florida. "
BOOK IT STRANGE IT DON'T-WANT  .,"I don't want that book, it's strange."
MY UNCLE OLD FORTY-SIX .,My uncle is forty-six years old.
HORSE COMPLETE BET CRAZY HE .,He is crazy about betting on the horses.
BOW-TIE TIE-KNOT CAN'T .,I can't tie a bow tie.
I LIKE WALK .,I like to walk.
CAN YOU-HELP-I ?,Can you help me out?
THING YOU NEED ?,Do you need anything?
HOW YOU SIGN R-O-C-K-E-T ?,How do you sign rocket?
HE LOSE GREEN BOOK HE .,He lost a green book.
"SHE WALK , SEE FLOWER , PICK-UP .",She walked around and saw some flowers and picked them up. 
HE WANT MONEY .,He wants money.
J-O-E LOVES MOTORCYCLES .,Joe loves motorcycles.
I BUY NONE CLOTHES I .,I bought no clothes.
SHE CRY-CONTINUALLY .,She cried for some time.
"THAT BOOK , M-O-S-E-S READ .","That book, Moses read it."
TEMPERATURE OUTSIDE WHAT ?,What is the temperature outside?
"MY BOOK , TEACH+AM LOSE .",The teacher lost my book.
BROTHER SIX-THREE .,My brother is six feet and three inches.
BASEBALL WATCH YOU LIKE ?,Do you like to watch baseball?
G-A-I-L I-SHOW-HER COMPUTER .,I showed Gail the computer.
M-A-R-I-A MINOR WHAT? HISTORY .,Maria's minor is history.
PRESIDENT'S DAY WHEN? F-E-B .,President's Day is in February.
IT HOME HAVE TREE++ .,There are many trees near my home.
YOU LIKE SKATING-ROLLER ?,Do you like roller skating?
"HE , HER TEACHER .",He is her teacher.
"WATER YOU DRINK EVERY-DAY , CUP  HOW-MANY YOU ?",How many cups of water do you drink daily?
IF GOAL JOB DOCTOR TRAINING YEARS REQUIRE HOW-MANY ?,How many years of training are required to become a doctor?
THEY LIVE B-C .,They live in British Columbia.
DISHES WASH DON'T-MIND YOU ?,Do you mind washing the dishes?
"SUMMER VACATION , YOU WAKE UP WHAT-TIME ?",What time do you wake up during summer vacation?
"SUPPOSE GO JAIL , GOVERNMENT SUBTRACT RIGHT VOTE ?","If you go to jail, will the government take away your right to vote?"
YOU LIVE NEAR SCHOOL ?,Do you live near the school?
EXCUSE-I . I SORRY INTERRUPT IMPORTANT INFORM .,"Excuse me. I'm sorry to interrupt, but I have an important message."
YOU UNDERSTAND I ?,Do you understand me?
JOB THIS YOU PLAN APPLY JOB KIND WHAT ?,What type of job do you plan to apply for?
"PAT HIS LECTURE , I DON'T SUPPORT REASON .",I don't support Pat's lecture because .
DURING MY CLASS TIME EIGHT-TO-TEN .,"It was during my class time, which is from eight to ten o'clock."
MY COMPUTER FILES SAVE BACKUP I NEED .,I need to backup my computer.
MY SON OLD ELEVEN .,My son is 11 years old.
TEA COLD WANT .,I'll have iced tea.
YOUR ANSWER RIGHT .,Your answer is right.
I TIRED WHY? I STUDY ALL-NIGHT .,I am exhuasted because I was up all night studying.
"MOVIE , LATER SHE-SHOW-I .",She will show me the movie later.
LONG TIME AGO MY GRANDFATHER DEER HE HUNT .,My grandfather used to hunt for deer.
"HELLO , MY NAME S-A-V-A-N-N-A-H .","Hello, my name is Savannah."
LAST-NIGHT THEY-PITY-EACH-OTHER .,They pitied each other last night.
"IMPORTANT YOUR LIFE , WHAT  ?",What is the most important thing in your life?
I GO-THERE PUT-IN-GAS HOW-MUCH? TWENTY DOLLAR .,"I went to get gas, and it was twenty dollars."
YOUR FAVORITE COLOR WHAT ?,What is your favorite color?
I NEVER GO-AWAY MOVIE I .,I never go to the movies.
TWO CATS BETTER WHY? NOT BECOME LONELY .,"Two cats are better, so they don't get lonely."
I LIVE DETROIT .,I live in Detroit.
I ENJOY WATCH MOST WHAT? SWIMMING .,I enjoy watching swimming the most.
ENTER COST HOW-MANY ?,How much does it cost to get in?
WHEN YOUR BIRTHDAY ?,When is your birthday?
"DEAF C-L-U-B , YOU PATRONIZE FREQUENT ?",Do you frequent the deaf club?
"USE SIGN , I-FORCE-TWO-THEY , WILL I .",I will force both of them to use sign.
"THAT WOMAN , N-A-T-A-L-Y-A SAY M-A-R-I-O DON'T KNOW SHE .","That woman, Natalysa said Mario doesn't know her."
TONIGHT DO ?,What do you want to do tonight?
TWO-OF-WE GO-TO P-A-R-K WALK .,Let's go for a walk in the park.
MY FRIEND BORN WHERE? WEST VIRGINIA .,My friend was born in West Virginia.
EIGHT T-SHIRTS I HAVE .,I have eight t-shirts.
TWO DIVIDE BY ONE EQUAL TWO .,2 divided by 1 = 2
TRAIN LATE .,The train is late.
"TWO-OF-WE TAKE-UP SCIENCE , WONDERFUL .",That's so wonderful that the two of us are taking science.
SIX BROWN SHOES I HAVE .,I have 6 brown shoes.
A-V-A AGE FIFTY-EIGHT .,Ava is fifty-eight.
WHAT-KIND PIE YOU THINK DELICIOUS ?,What kind of pie do you think is delicious?
GREEN TABLE! WEIRD YOU WHITE TABLE BUY .,You want a green table; you're weird! Buy a white one instead.
MY BIRTHDAY J-A-N FOURTEEN .,My birthday is January 14th.
"MY SISTER HAS HAIR BLUE , EYES BROWN , FRECKLES .","My sister has blue hair, brown eyes, and lots of freckles."
I THINK SAME-AS-I .,I thought we agreed.
INDIA HAVE MANY COMPUTER PROGRAM+AM ?,Does India have many computer programmers?
I WRITE BOOK FINISH .,I wrote a book.
YOU HAVE SISTER ?,Do you have a sister?
"I SIT OUTSIDE , HIT , RAIN .",I was sitting outside when unexpectedly it started to rain.
INTERPRET+AM SIGN HOW? ASL .,The interpreter signs in ASL.
BLACK PLEASE .,"I take it black, please."
NOT SATISFIED I .,I am not satisfied.
MY GRANDMOTHER MARRIED WHERE? IDAHO .,My grandmother was married in Idaho.
YOU EXERCISE YOU ?,Do you exercise regularly?
"SISTER , BROTHER I ASK .",I asked my sister and brother.
"SUPPOSE CAR BREAK-DOWN , FIX HOW? YOURSELF .","If the car breaks down, you'll fix it yourself."
PAST NIGHT YOU EAT NOT WHY ?,Why didn't you eat last night?
YOU LIKE RUN ?,Do you like to run?
YOUR DAD SHORT ?,Is your dad short?
M-A-T-T H-A-M-I-L-L HIMSELF DEAF WRESTLER .,Matt Hamill is a deaf wrestler.
HUNGER YOU ?,Are you hungry?
IT ACCEPT I !,Gallaudet accepted me! 
I GET-ON TRAIN TRAVEL-FROM-PLACE-TO-PLACE .,I got around on the train.
"YESTERDAY , SNOW .",It snowed yesterday.
THREE-OF-THEY THEY-PICK-I TELL LECTURE+AM .,The three of them picked me to tell the speaker.
"TEST , BEFORE MONDAY I TAKE-UP . J-O-E HE-COPY-I .",Last Monday I took a test. Joe copied from me.
NOW NIGHT DRESS WHAT ?,What are you wearing tonight?
YOU RIGHT HANDED LEFT HANDED WHICH ?,Are you right handed or left handed?
SHE HIS SISTER SHE .,She is his sister.
"LAST-NIGHT I GO PARTY , SAW WOMAN HAVE DRESS PINK AND GREY STRIPE .","Last night, I went to a party and saw a woman wearing a pink and grey striped dress."
PAPER HERE .,The paper is here.
PHONE NUMBER WHAT ?,What is your phone number?
YOUR PARENTS DEAF ?,Are your parents deaf?
"YOUR FAVORITE SPORT , WHAT ?",What's your favorite sport?
YOU LEARN VOCABULARY YOU ?,Do you learn vocabulary?
BASEBALL BALL BARELY MISS I WHIZZ-BY .,The baseball just barely missed me.
"L-E-E THAT-ONE , WE-CORRESPOND-WITH UP-TILL-NOW MANY-YEAR .","You know Lee, we have been corresponding with each other now for many years."
A-B-D-U-L NOT BUY TOMATO .,Abdul does not buy tomatoes.
IT VERY DRY .,It's very dry.
I RETIRED I .,I'm retired.
HOW NATIVE-AMERICAN HELP PILGRIM ?,How did Native Americans help the Pilgrims?
M-A-R-K SEE SHE .,Mark sees her.
I GO HOME NOW? NO .,"No, I am not going home now."
YOU FALL-IN-LOVE EASY ?,Do you fall in love easily?
"EVERY-MORNING I WAKE-UP , SHOWER , GET-DRESSED .","Every morning, I wake up, shower, and get dressed."
"YOUR FAMILY , WHO OTHER SIGN ?",Who in your family knows sign language?
"NOT LIKE , QUIT .","I didn't like it, so I quit."
BOX HELP BRING MY CAR DON'T-MIND ?,Do you mind bringing a box to my car?
CUP TEA YOU WANT ?,Would you like a cup of tea?
"HIS ART DISPLAYED MANY PLACES SAME-AS GALLAUDET UNIVERSITY , N-T-I-D , G-U-G-G-E-N-H-E-I-M , W-H-I-T-N-E-Y MUSEUMS .","His artwork has been displayed many places, such as at Gallaudet University, NTID, and the Guggenheim and Whitney Museums."
MY AUNT LIVE WHERE? MAINE .,My aunt lives in Maine.
L-O-I-S SLEEPY .,Lois is sleepy.
"GO-BY-BOAT THERE EUROPE , THREE-WE WANT .",The three of us want to go to Europe by boat.
NOW LIVE N-J BETTER .,Now I live in New Jersey. It's better.
HAIRCUT HAVE WHAT-KIND ?,What haircut did you get?
TRUE . SUNDAY ACCOMPANY-I MOVIE WANT YOU ?,That's true. Do you want to come with me to a movie on Sunday?
MEDICATION I-GIVE-YOU .,I will give you medication.
MY HAIR YOU-HELP-I BLOWDRY ?,Will you help me blow dry my hair?
"SATURDAY AFTERNOON , VISIT MY GIRLFRIEND L-O-U-I-S-E .","Saturday afternoon, we visited my girlfriend, Louise. "
EVERY TUESDAY MY FAMILY DO-DO ? GAME NIGHT .,Every Tuesday my family has game night.
YOUR PARENTS DEAF ?,Are your parents Deaf?
COLLEGE GO-TO MY STUDENTS I ENCOURAGE .,I encourage my students to attend college.
YOU-SEND-I PICTURE FOUR .,Send me 4 pictures.
"LAST TEST , YOU READY YOU ?",Are you ready for the last test?
"E-L-E-N-A WILL BUY TOMORROW WHAT , WILL WHAT ?","What will Elena buy tomorrow, what will she?"
SEEM HE BREATHE O-K .,He seems to be breathing okay.
MISSISSIPPI NEW HAMPSHIRE WHICH ?,Mississippi or New Hampshire?
